Тайтл,Карусель (%),Лента (%),Кол-во показов в карусели,Кол-во просмотров в карусели,Кол-во показов в ленте,Кол-во просмотров в ленте
Help! I’m Falling In Love With My Rude CEO,100.0,4.31,1,8,232,10
Изи катка,14.83,2.81,2225,330,356,10
Бюро последний шанс,10.2,79.17,3864,394,48,38
New Boss,7.33,5.75,6809,499,643,37
My Sex Ski Instructor,6.52,11.02,28467,1857,753,83
I fell in love with a waiter,6.47,13.99,23520,1521,486,68
28 Days of Love Without Sex,5.14,6.25,21817,1121,384,24
Million Dollar Twins,4.38,11.01,20938,917,427,47
50 Women of My Son,4.14,7.2,22566,935,403,29
Бумажные сердца,3.96,4.62,31035,1230,1754,81
Damn! The Duke Got The Wrong Girl,3.8,10.66,49527,1882,4259,454
Любить тебя заново,3.6,90.38,4219,152,52,47
We Charmed Our Boss,3.57,8.41,23769,849,428,36
Рождество с секретным миллиардером,3.57,10.86,57696,2059,6518,708
Fisherman Ceo,3.56,77.29,3567,127,229,177
Divorce on the wedding day,3.55,7.88,46173,1637,4037,318
She Is a Model for Her Friend,3.28,7.77,23306,764,386,30
Bodyguard of her love,2.99,100.0,501,15,42,43
The mafia boss is my servant,2.7,11.8,5189,140,551,65
I kissed my boss,2.27,4.21,11383,258,712,30
Cleopatra,1.46,14.04,5280,77,1610,226
Любимая девушка,0.79,8.7,126,1,207,18
Солистка балета,0.57,7.22,174,1,180,13
Destined Love: Marry Me Again,0.56,0.0,356,2,17,0
Близнецы,0.51,11.4,198,1,193,22
Иван Никулин — русский матрос,0.37,6.91,268,1,188,13
Небесный тихоход,0.32,11.6,310,1,181,21
Белый Клык,0.0,6.64,129,0,211,14
The Haunted Sisters,0.0,6.56,0,0,183,12
Faded Threads,0.0,4.65,0,0,215,10
Tied By Fate,0.0,4.35,21,0,276,12
Uncle I love you,0.0,100.0,0,0,1,1
Rosy Psycho,0.0,3.2,0,0,219,7
Honey Gold,0.0,2.3,2,0,217,5
Подкидыш,0.0,8.25,0,0,194,16
Love Me or I Die,0.0,5.98,0,0,184,11
Runaway Bride,0.0,4.98,0,0,261,13
Садко,0.0,8.65,14,0,185,16
The Perfect Husband,0.0,10.75,0,0,186,20
The Inheritance Game,0.0,6.36,122,0,220,14
Undercovered Heart,0.0,4.85,2,0,206,10
The Marriage Contract,0.0,6.31,0,0,222,14
The Unforgettable Love,0.0,4.42,0,0,249,11
Married to a Stranger,0.0,5.05,0,0,218,11
An Affair with My Boss,0.0,4.17,0,0,216,9
Collateral Hearts,0.0,7.44,0,0,215,16
Under Her Control,0.0,3.43,0,0,204,7
Mysterious Murderer,0.0,5.41,0,0,185,10
"One Night, One Forever",0.0,5.41,0,0,222,12
My Handsome Bodyguard,0.0,7.72,0,0,272,21
Twist of Time,0.0,7.33,0,0,191,14
The Escaping Mistress,0.0,6.79,0,0,221,15
The Missing Piece,0.0,5.19,2,0,212,11
A Love Once Betrayed,0.0,3.68,2,0,190,7
Conflicted Hearts,0.0,5.53,157,0,217,12
Алёша Птицын,0.0,7.69,39,0,195,15
The Day We Got Married,0.0,7.03,0,4,185,13
Taming Mr. Champion,0.0,0.0,0,0,2,0
The Billionaire’s Vow,0.0,6.6,0,0,212,14
The Black thrones,0.0,6.05,0,0,215,13
Love Lies and Bloodline,0.0,4.08,0,0,196,8
The Pendleton Secret,0.0,6.5,1,0,200,13
Love’s Perfect Crime,0.0,7.91,0,0,215,17
Killer Romance,0.0,5.16,0,0,213,11
In Her Shadow,0.0,3.32,0,0,211,7
Волга Волга,0.0,8.33,122,0,192,16
She is Mine,0.0,4.17,0,0,192,8
Три встречи,0.0,7.61,0,0,184,14
Why I Did It,0.0,5.71,150,0,210,12
My sister stole my man,0.0,4.95,0,0,202,10
Tangled in Desire,0.0,8.81,0,0,227,20
Do Not Deceive Me,0.0,3.19,0,0,188,6
Echoes of Vengeance,0.0,7.8,0,0,295,23
The Phoenix Conspiracy,0.0,4.48,0,0,201,9
Billionaire’s Betrayal,0.0,3.11,0,0,193,6
Good for Him,0.0,3.54,1,0,198,7
School Hall,0.0,4.93,0,0,223,11
If Only You Were Mine,0.0,4.57,0,0,219,10
Marry The Wrong Bride,0.0,5.35,0,3,187,10
The Mistress Trap,0.0,6.73,2,0,208,14
One Night Stand,0.0,9.22,0,0,282,26
The Billionaire’s Lost Love,0.0,6.83,172,0,205,14
I'm Obsessed with My Boss Part 1,0.0,3.86,0,0,207,8
Лунный камень,0.0,5.19,20,0,212,11
Mafia Lord's Son Has Secret Love For His Stepmom,0.0,7.66,0,0,274,21
Duty Or Desire,0.0,5.03,1,0,199,10
Married to My Brother’s Ex,0.0,7.39,0,0,203,15
The Dumb Billionaire Heiress in Love p2,0.0,4.12,0,0,194,8
On One Condition,0.0,5.12,0,0,215,11
I Think My Wife Wants To Kill Me S2,0.0,3.81,0,0,210,8
Учитель,0.0,8.04,3,0,199,16
Девушка с характером,0.0,6.09,12,0,197,12
Sisters Have Crush on the Same Man,0.0,5.05,0,0,218,11
Revenge on My Cheating Fiancé,0.0,6.51,0,0,215,14
My celebrity boyfriend killed me,0.0,4.46,0,0,202,9
Тимур и его команда,0.0,5.24,0,0,191,10
The Escort,0.0,5.83,0,0,223,13
Billionaire Daughter's Love Triangle,0.0,4.21,0,0,214,9
The Crown,0.0,6.59,0,0,258,17
Destined To Be,0.0,4.21,0,0,190,8
Lost and Found,0.0,4.17,0,0,216,9
I Think My Wife Wants To Kill Me. Season 1,0.0,8.25,0,0,206,17
Соловей-Соловушко,0.0,5.66,0,0,212,12
Каменный цветок,0.0,4.55,0,0,176,8
Hollywood Star`s Fake Girlfriend,0.0,5.04,0,0,258,13
Two Worlds Apart,0.0,2.63,0,0,190,5
Trial marriage to a billionaire. Season 2,0.0,3.23,0,0,186,6
Свинарка и пастух,0.0,5.99,0,0,167,10
In Love with His Godfather's Daughter,0.0,4.7,0,0,234,11
Дети капитана Гранта,0.0,10.37,85,0,164,17
Таинственный остров,0.0,10.78,0,0,204,22
The Winter Veil,0.0,7.89,43,0,190,15
Trial Marriage to A Billionaire. Season 1,0.0,11.86,0,12,194,23
Camouflage,0.0,8.56,164,0,222,19
Twisted Fates,0.0,6.25,0,0,208,13
Броненосец «Потёмкин»,0.0,6.6,20,0,197,13
The Dumb Billionaire Heiress in Love P1,0.0,8.45,0,0,213,18
Hidden Agenda,0.0,3.11,0,0,193,6
Never Mess with a Badass Girl,0.0,5.26,0,0,190,10
The CEO,0.0,8.25,0,13,194,16
Şoför,0.0,8.41,0,0,226,19
Цирк,0.0,6.86,74,0,204,14
Любви не бывает,0.0,8.17,50,0,208,17
Dragon Firefighter and His Love,0.0,100.0,0,0,1,1
Секретарь райкома,0.0,12.06,110,0,199,24
I'm Obsessed with My Boss Part 2,0.0,4.69,0,0,213,10
Весёлые ребята,0.0,4.21,0,0,190,8
Return to the secret heiress,0.0,0.0,0,0,1,0
Blood Contract,0.0,4.59,0,0,218,10
